text,timestamp,source,url,ticker,company_names
Analysts See $2.68 EPS for Thermo Fisher Scientific Inc. $TMO https://t.co/3nmQFCEiPH,Mon Jul 09 20:15:44 +0000 2018,reurope_stock,https://reurope.com/2018/07/09/analysts-see-2-68-eps-for-thermo-fisher-scientific-inc-tmo/,,
$2.68 EPS Expected for Thermo Fisher Scientific Inc. $TMO - https://t.co/Tmwhscbqlq,Mon Jul 09 20:16:01 +0000 2018,bibeypost_stock,https://www.bibeypost.com/2-68-eps-expected-for-thermo-fisher-scientific-inc-tmo/,,
Short sale vol (not short interest) for $MDLZ on 2018-07-06 is 61%. https://t.co/Vcdl7hZxWK $HSY 52% $GIS 37% $K 53% $PEP 38%,Mon Jul 09 20:18:02 +0000 2018,shortvolumes,http://shortvolumes.com/?t=MDLZ,,
@TurquoiseHillRe @jeffsmithmedia @OTMongolia @Erdenes_OT But you have to appreciate where the average long-term invâ€¦ https://t.co/PULYmhAOf7,Mon Jul 09 20:20:22 +0000 2018,GWilem1,https://twitter.com/i/web/status/1016416792250667008,,
no trades today...currently 171.6% net longâ€¦ended the day up 0.41% thanks to $ACGL (+2.2%) $ROP (+1.6%) $RLI (+1.â€¦ https://t.co/ybSGq2Ohjn,Mon Jul 09 20:23:06 +0000 2018,VaughnOkumura,https://twitter.com/i/web/status/1016417481785688064,,
Why You Shouldn't Discount These 4 Top Stocks In Or Near Buy Zones  $BURL $TJX $DG $ROST  https://t.co/RXbUmzORJg,Mon Jul 09 20:24:18 +0000 2018,TopStockAlerts1,https://www.investors.com/research/retail-sector-ross-stock-tjx-stock-dollar-general-stock-burlington-stock/,,
Farmers Trust Co Decreased Its Position in Lauder Estee Cos INC $EL by $4.24 Million as Shares Rose - https://t.co/EzNZva4vUo,Mon Jul 09 20:25:05 +0000 2018,whatsonthorold2,https://www.whatsonthorold.com/2018/07/09/farmers-trust-co-decreased-its-position-in-lauder-estee-cos-inc-el-by-4-24-million-as-shares-rose/,,
Lauder Estee Cos INC $EL Valuation Rose While Farmers Trust Co Cut Position by $4.24 Million https://t.co/pSlKeXy2oT,Mon Jul 09 20:25:48 +0000 2018,reurope_stock,https://reurope.com/2018/07/09/lauder-estee-cos-inc-el-valuation-rose-while-farmers-trust-co-cut-position-by-4-24-million/,,
Farmers Trust Co Has Cut Its Lauder Estee Cos INC $EL Stake by $4.24 Million - https://t.co/puPQrJ3WIf,Mon Jul 09 20:26:04 +0000 2018,bibeypost_stock,https://www.bibeypost.com/farmers-trust-co-has-cut-its-lauder-estee-cos-inc-el-stake-by-4-24-million/,,
$ETR Entergy Corporation SEC Filing: Form 3 https://t.co/u7Ny3eTVcJ,Mon Jul 09 20:26:49 +0000 2018,StockTexts,http://www.sec.gov/Archives/edgar/data/65984/000006598418000182/xslF345X02/edgar.xml,,
https://t.co/dlD0hsPHN1 $XYL Xylem notable market movement up 1.8% = $216.4 million gain. At $12 billion marketCapâ€¦ https://t.co/2ZwhNG6cL8,Mon Jul 09 20:30:42 +0000 2018,42Stocks,http://42stocks.com/sym/xyl.html,,
Afternoon Most Tweeted Mid Caps check out Gambiste Top 10: $HELE $FEYE $GRPN $ACAD $CRTO $FIBK $HALO $ARRY $MANT https://t.co/lYp5LtitVR,Mon Jul 09 20:30:58 +0000 2018,GambisteFinance,http://gambiste.com/index.php/current-month-stock-data/,,
Delphi Technologies PLC $DLPH Receives Consensus Rating of â€œBuyâ€ from Analysts https://t.co/QjPx9uUyPV,Mon Jul 09 20:35:04 +0000 2018,ledgerzette,http://ledgergazette.com/?p=2815699,,
Delphi Technologies PLC $DLPH Receives Consensus Rating of â€œBuyâ€ from Analysts https://t.co/DfvzpZHW72,Mon Jul 09 20:35:17 +0000 2018,MareaInformativ,http://www.mareainformativa.com/?p=412160,,
